Gene_name	Group
ANGPT1	Soluble factors
ANGPT2	Soluble factors
CXCL16	Soluble factors
CXCL8	Soluble factors
HGF	Soluble factors
NRG1	Soluble factors
TNFSF10	Soluble factors
VEGFA	Soluble factors
HBEGF	Soluble factors
CD40LG	Soluble factors
IL10	Soluble factors
CCR2	Transmembrane receptors
CCR5	Transmembrane receptors
CD163L1	Transmembrane receptors
CLEC1A	Transmembrane receptors
CLEC1B	Transmembrane receptors
CLEC4A	Transmembrane receptors
CX3CR1	Transmembrane receptors
F2RL2	Transmembrane receptors
GPR135	Transmembrane receptors
GPR155	Transmembrane receptors
IGF1R	Transmembrane receptors
IL1R1	Transmembrane receptors
TLR5	Transmembrane receptors
TLR7	Transmembrane receptors
TNFRSF21	Transmembrane receptors
CD200R1	Transmembrane receptors
SIGLEC16	Transmembrane receptors
SIGLEC9	Transmembrane receptors
CD330A	Transmembrane receptors
LEPR	Transmembrane receptors
CD69	Transmembrane receptors
ITGAV	Transmembrane receptors
ICAM2	Adhesion Molecules
IRAK1	Adhesion Molecules
IRAK2	Adhesion Molecules
MAP2K5	Adhesion Molecules
MAP2K6	Adhesion Molecules
MAP3K5	Adhesion Molecules
CDK14	Adhesion Molecules
MAP3K8	Adhesion Molecules
IFI16	Transcription factors
IRF2	Transcription factors
IRF3	Transcription factors
CIITA	Transcription factors
STAT4	Transcription factors
STAT6	Transcription factors
TRIM16	Transcription factors
TRIM27	Transcription factors
TRIM66	Transcription factors
PPARGC1B	Transcription factors
HDAC4	Transcription factors
HDAC8	Transcription factors
HDAC9	Transcription factors
SMAD1	Transcription factors
SMAD7	Transcription factors
NFKBIA	Transcription factors
EGR1	Transcription factors
KLF2	Transcription factors
HIF1A	Transcription factors
KLF10	Transcription factors
